1946_1	1946_1	To the Congress of the United States:  
1981_471	1981_471	 Sixth, we must continue to look ahead in order to evaluate and respond  to resource, environment and population challenges through the end of this  century.  
1981_472	1981_472	One very immediate and pressing objective that is uppermost on our minds  and those of the American people is the release of our hostages in Iran.  
1981_476	1981_476	The maintenance of national security is my first concern, as it has been  for every president before me.  
1981_480	1981_480	We are demonstrating to the Soviet Union across a broad front that it will  pay a heavy price for its aggression in terms of our relationship.  Throughout the last decades U.S._Soviet relations have been a mixture of  cooperation and competition. The Soviet invasion of Afghanistan and the  imposition of a puppet government have highlighted in the starkest terms  the darker side of their policies, going well beyond competition and the  legitimate pursuit of national interest, and violating all norms of  international law and practice.  
1981_481	1981_481	This attempt to subjugate an independent, non_aligned Islamic people is a  callous violation of international law and the United Nations Charter, two  fundamentals of international order. Hence, it is also a dangerous threat  to world peace. For the first time since the communization of Eastern  Europe after World War II, the Soviets have sent combat forces into an area  that was not previously under their control, into a non_aligned and  sovereign state.  
1981_482	1981_482	The destruction of the independence of the Afghanistan government and the  occupation by the Soviet Union have altered the strategic situation in that  part of the world in a very ominous fashion. It has significantly shortened  the striking distance to the Indian Ocean and the Persian Gulf for the  Soviet Union.  
1981_487	1981_487	BILATERAL COMMUNICATION  
1981_488	1981_488	U.S._Soviet relations remain strained by the continued Soviet presence in  Afghanistan, by growing Soviet military capabilities, and by the Soviets'  apparent willingness to use those capabilities without respect for the most  basic norms of international behavior.  
1981_492	1981_492	DEFENSE BUDGET  
1981_494	1981_494	The Soviet Union has built a war machine far beyond any reasonable  requirements for their own defense and security. In contrast, our own  defense spending declined in real terms every year from 1968 through 1976.  
1981_495	1981_495	We have reversed this decline in our own effort. Every year since 1976  there has been a real increase in our defense spending, and our lead has  encouraged increases by our allies. With the support of the Congress, we  must and will make an even greater effort in the years ahead.  
1981_496	1981_496	The Fiscal Year 1982 budget would increase funding authority for defense to  more than $196 billion. This amount, together with a supplemental request  for FY 1981 of about $6 billion, will more than meet my Administration's  pledge for a sustained growth of 3 percent in real expenditures, and  provides for 5 percent in program growth in FY 1982 and beyond.  
1981_499	1981_499	The defense program emphasizes four areas:  
1981_504	1981_504	The new M_X missile program to enhance our land_based intercontinental  ballistic missile force continues to make progress. Technical refinements  in the basing design over the last year will result in operational  benefits, lower costs, and reduced environmental impact. The M_X program  continues to be an essential ingredient in our strategic posture, providing  survivability, endurance, secure command and control and the capability to  threaten targets the Soviets hold dear.  
1981_508	1981_508	I have codified our evolving strategic doctrine in a number of interrelated  and mutually supporting Presidential Directives. Their overarching theme is  to provide a doctrinal basis, and the specific program to implement it,  that tells the world that no potential adversary of the United States could  ever conclude that the fruits of his aggression would be significant or  worth the enormous costs of our retaliation.  
1981_509	1981_509	The Presidential Directives include:  
1981_510	1981_510	PD_18: An overview of our strategic objectives PD_37: Basic space policy  PD_41: Civil Defense PD_53: Survivability and endurance for  telecommunications PD_57: Mobilization planning PD_58: Continuity of  Government PD_59: Countervailing Strategy for General War.  
1981_512	1981_512	But at the same time we in no way seek to emulate their doctrine. In  particular, nothing in our policy contemplates that nuclear warfare could  ever be a deliberate instrument for achieving our own goals of peace and  freedom. Moreover, our policies are carefully devised to provide the  greatest possible incentives and opportunities for future progress in arms  control.  
1981_514	1981_514	FORCES FOR NATO  
1981_516	1981_516	We are prepositioning more heavy equipment in Europe to help us cope with  attacks with little warning, and greatly strengthening our airlift and  sealift capabilities.  
1981_518	1981_518	We are working closely with our European allies to secure the Host Nation  Support necessary to enable us to deploy more quickly a greater ratio of  combat forces to the European theater at a lower cost to the United  States.  
1981_536	1981_536	OUR INTELLIGENCE POSTURE  
1981_538	1981_538	The intelligence budget I have submitted to the Congress responds to our  needs in a responsible way, providing for significant growth over the  Fiscal Year 1981 budget. This growth will enable us to develop new  technical means of intelligence collection while also assuring that the  more traditional methods of intelligence work are also given proper stress.  We must continue to integrate both modes of collection in our analyses.  
1981_539	1981_539	REGIONAL POLICIES  
1981_542	1981_542	We have vital stakes in other major regions of the world as well. We have  long recognized that in an era of interdependence, our own security and  prosperity depend upon a larger common effort with friends and allies  throughout the world.  
1981_545	1981_545	The U.S. has not been alone in seeking to maintain stability in the  Southwest Asia area and insure access to the needed resources there. The  European nations with the capability to do so are improving their own  forces in the region and providing greater economic and political support  to the residents of the area. In the face of the potential danger posed by  the Iran_Iraq conflict, we have developed coordination among the Western  forces in the area of the Persian Gulf in order to be able to safeguard  passage in that essential waterway.  
1981_547	1981_547	The alliance has continued to build on the progress of the past three years  in improving its conventional forces through the Long_Term Defense Program.  Though economic conditions throughout Europe today are making its  achievement difficult, the yearly real increase of 3 percent in defense  spending remains a goal actively sought by the alliance.  
1981_548	1981_548	The NATO alliance also has moved forward during the past year with the  implementation of its historic December 1979 decision to modernize its  Theater Nuclear Force capabilities through deployment of improved Pershing  ballistic missiles and ground_launched cruise missiles in Europe. Our  allies continue to cooperate actively with us in this important joint  endeavor, whose purpose is to demonstrate convincingly to the Soviet Union  the potential costs of a nuclear conflict in Europe. At the same time, we  offered convincing evidence of our commitment to arms control in Europe by  initiating preliminary consultations with the Soviet Union in Geneva on the  subject of negotiated limits on long_range theater nuclear forces. Also,  during 1980 we initiated and carried out a withdrawal from our nuclear  weapons stockpile in Europe of 1,000 nuclear warheads. This successful  drawdown in our nuclear stockpile was a further tangible demonstration of  our commitment to the updating of our existing theater nuclear forces in  Europe.  
1981_549	1981_549	In the NATO area, we continued to work closely with other countries in  providing resources to help Turkey regain economic health. We regretted  that massive political and internal security problems led the Turkish  military to take over the government on September 12. The new Turkish  authorities are making some progress in resolving those problems, and they  have pledged an early return to civilian government. The tradition of the  Turkish military gives us cause to take that pledge seriously. We welcomed  the reestablishment of Greece's links to the integrated military command  structure of the Atlantic Alliance a move which we had strongly  encouraged as a major step toward strengthening NATO's vital southern  flank at a time of international crisis and tension in adjacent areas.  Greek reintegration exemplifies the importance which the allies place on  cooperating in the common defense and shows that the allies can make the  difficult decisions necessary to insure their continued security. We also  welcomed the resumption of the intercommunal talks on Cyprus.  
1981_558	1981_558	Finally, we are in the process of concluding a long negotiation  establishing Micronesia's status as a freely associated state.  
1981_560	1981_560	THE MIDDLE EAST AND SOUTHWEST ASIA  
1981_563	1981_563	MIDDLE EAST  
1981_568	1981_568	PERSIAN GULF  
1981_569	1981_569	The Persian Gulf has been a vital crossroads for trade between Europe and  Asia at many key moments in history. It has become essential in recent  years for its supply of oil to the United States, our allies, and our  friends. We have taken effective measures to control our own consumption of  imported fuel, working in cooperation with the other key industrial /  nations of the world. However, there is little doubt that the healthy  growth of our American and world economies will depend for many years on  continued safe access to the Persian Gulf's oil production. The denial of  these oil supplies would threaten not only our own but world security.  
1981_573	1981_573	We seek a South Asia comprising sovereign and stable states, free of  outside interference, which can strengthen their political institutions  according to their own national genius and can develop their economies for  the betterment of their people.  
1981_579	1981_579	The United States has achieved a new level of trust and cooperation with  Africa. Our efforts, together with our allies, to achieve peace in southern  Africa, our increased efforts to help the poorest countries in Africa to  combat poverty, and our expanded efforts to promote trade and investment  have led to growing respect for the U.S. and to cooperation in areas of  vital interest to the United States.  
1981_580	1981_580	Africa is a continent of poor nations for the most part. It also contains  many of the mineral resources vital for our economy. We have worked with  Africa in a spirit of mutual cooperation to help the African nations solve  their problems of poverty and to develop stronger ties between our private  sector and African economies. Our assistance to Africa has more than  doubled in the last four years. Equally important, we set in motion new  mechanisms for private investment and trade.  
1981_582	1981_582	During Vice President Mondale's visit, a Joint Agricultural Consultative  Committee was established, with the U.S. represented entirely by the  private sector. This could herald a new role for the American private  sector in helping solve the world's serious food shortages. I am pleased to  say that our relations with Nigeria are at an all_time high, providing the  foundation for an even stronger relationship in the years ahead.  
1981_584	1981_584	In southern Africa the United States continues to pursue a policy of  encouraging peaceful development toward majority rule. In 1980, Southern  Rhodesia became independent as Zimbabwe, a multiracial nation under a  system of majority rule. Zimbabwean independence last April was the  culmination of a long struggle within the country and diplomatic efforts  involving Great Britain, African states neighboring Zimbabwe, and the  United States.  
1981_586	1981_586	In response to our active concern with issues of importance to Africans,  African states have cooperated with us on issues of importance to our  national interests. African states voted overwhelmingly in favor of the  U.N. Resolution calling for release of the hostages, and for the U.N.  Resolution condemning the Soviet invasion of Afghanistan. Two countries of  Africa have signed access agreements with the U.S. allowing us use of naval  and air facilities in the Indian Ocean.  
1981_587	1981_587	Africans have become increasingly vocal on human rights. African leaders  have spoken out on the issue of political prisoners, and the OAU is  drafting its own Charter on Human Rights. Three countries in Africa   Nigeria, Ghana, and Uganda have returned to civilian rule during the past  year.  
1981_588	1981_588	U.S. cooperation with Africa on all these matters represents a strong base  on which we can build in future years.  
1981_591	1981_591	In early 1979, following a Libyan_inspired commando attack on a Tunisian  provincial city, the U.S. responded promptly to Tunisia's urgent request  for assistance, both by airlifting needed military equipment and by making  clear our longstanding interest in the security and integrity of this  friendly country. The U.S. remains determined to oppose other irresponsible  Libyan aspirations. Despairing of a productive dialogue with the Libyan  authorities, the U.S. closed down its embassy in Libya and later expelled  six Libyan diplomats in Washington in order to deter an intimidation  campaign against Libyan citizens in the U.S.  
1981_595	1981_595	The principles of our policies in this hemisphere have been clear and  constant over the last four years. We support democracy and respect for  human rights. We have struggled with many to help free the region of both  repression and terrorism. We have respected ideological diversity and  opposed outside intervention in purely internal affairs. We will act,  though, in response to a request for assistance by a country threatened by  external aggression. We support social and economic development within a  democratic framework. We support the peaceful settlement of disputes. We  strongly encourage regional cooperation and shared responsibilities within  the hemisphere to all these ends, and we have eagerly and regularly sought  the advice of the leaders of the region on a wide range of issues.  
1981_598	1981_598	The trend in favor of democracy has continued. During this past year, Peru  inaugurated a democratically elected government. Brazil continues its  process of liberalization. In Central America, Hondurans voted in record  numbers in their first national elections in over eight years. In the  Caribbean seven elections have returned governments firmly committed to the  democratic traditions of the Commonwealth.  
1981_602	1981_602	In 1980, relations with Mexico continued to improve due in large measure to  the effectiveness of the Coordinator for Mexican Affairs and the expanded  use of the U.S._Mexico Consultative Mechanism. By holding periodic meetings  of its various working groups, we have been able to prevent mutual concerns  from becoming political issues. The Secretary of State visited Mexico City  in November, and, along with the Mexican Secretary of Foreign Relations,  reviewed the performance of the Consultative Mechanism. The office of the  Coordinator has ensured the implementation of my directive to all agencies  to accord high priority to Mexican concerns. Trade with Mexico rose by  almost 60 percent to nearly $30 billion, making that country our third  largest trading partner.  
1981_605	1981_605	We have a long_standing treaty with Colombia on Quita Sueno, Roncador, and  Serrano which remains to be ratified by the Senate.  
1981_608	1981_608	We have increased our aid to the Caribbean, an area vital to our national  security, and we should continue to build close relations based on mutual  respect and understanding, and common interests.  
1981_613	1981_613	Last year, the war between Iraq and Iran led to the loss of nearly 4  million barrels of oil to world markets, the third major oil market  disruption in the past seven years. This crisis has vividly demonstrated  once again both the value of lessened dependence on oil imports and the  continuing instability of the Persian Gulf area.  
1981_615	1981_615	Our international cooperation efforts in the energy field are not limited  to crisis management. At the Economic Summit meetings in Tokyo and Venice,  the heads of government of the seven major industrial democracies agreed to  a series of tough energy conservation and production goals. We are working  together with all our allies and friends in this effort.  
1981_617	1981_617	We are working cooperatively with other nations to increase energy security  in other areas as well. Joint research and development with our allies is  underway in solar energy, nuclear power, industrial conservation and other  areas. In addition, we are assisting rapidly industrializing nations to  carefully assess their basic energy policy choices, and our development  assistance program helps the developing countries to increase indigenous  energy production to meet the energy needs of their poorest citizens. We  support the proposal for a new World Bank energy affiliate to these same  ends, whose fulfillment will contribute to a better global balance between  energy supply and demand.  
1981_623	1981_623	COFFEE  
1981_624	1981_624	At year's end, Congress approved implementing legislation permitting the  U.S. to carry out fully its commitments under International Coffee  Agreement Specifically, the legislation enables us to meet our part of an  understanding negotiated last fall among members of the Agreement, which  defends, by use of export quotas, a price range well below coffee prices of  previous years and which commits major coffee producers to eliminate cartel  arrangements that manipulated future markets to raise prices. The way is  now open to a fully_functioning International Coffee Agreement which can  help to stabilize this major world commodity market. The results will be  positive for both consumers who will be less likely to suffer from sharp  increases in coffee prices and producers who can undertake future  investment with assurance of greater protection against disruptive price  fluctuations in their exports.  
1981_625	1981_625	NATURAL RUBBER  
1981_629	1981_629	ECONOMIC COOPERATION WITH DEVELOPING NATIONS  
1981_630	1981_630	Our relations with the developing nations are of major importance to the  United States. The fabric of our relations with these countries has strong  economic and political dimensions. They constitute the most rapidly growing  markets for our exports, and are important sources of fuel and raw  materials. Their political views are increasingly important, as  demonstrated in their overwhelming condemnation of the Soviet invasion of  Afghanistan. Our ability to work together with developing nations toward  goals we have in common (their political independence, the resolution of  regional tensions, and our growing ties of trade for example) require us to  maintain the policy of active involvement with the developing world that we  have pursued over the past four years.  
1981_632	1981_632	Our proposed FY 1982 bilateral development aid program is directly  responsive to the agreement reached at the 1980 Venice Economic Summit that  the major industrial nations should increase their aid for food and energy  production and for family planning. We understand that other Summit  countries plan similar responses. It is also important to honor our  international agreements for multilateral assistance by authorizing and  appropriating funds for the International Financial Institutions. These  multilateral programs enhance the efficiency of U.S. contributions by  combining them with those of many other donor countries to promote  development; the proposed new World Bank affiliate to increase energy  output in developing countries offers particular promise. All these types  of aid benefit our long_run economic and political interests.  
1981_633	1981_633	Progress was made on a number of economic issues in negotiations throughout  the U.N. system. However, in spite of lengthy efforts in the United  Nations, agreement has not been reached on how to launch a process of  Global Negotiations in which nations might collectively work to solve such  important issues as energy, food, protectionism, and population pressures.  The United States continues to believe that progress can best be made when  nations focus on such specific problems, rather than on procedural and  institutional questions. It will continue to work to move the North_South  dialogue into a more constructive phase.  
1981_638	1981_638	Good progress has been made since the Venice Economic Summit called for  increased effort on this front. We and other donor countries have begun to  assist poor countries develop long_term strategies to improve their food  production. The World Bank will invest up to $4 billion in the next few  years in improving the grain storage and food_handling capacity of  countries prone to food shortages.  
1981_643	1981_643	The human rights policy of the United States has been an integral part of  our overall foreign policy for the past several years. This policy serves  the national interest of the United States in several important ways: by  encouraging respect by governments for the basic rights of human beings, it  promotes peaceful, constructive change, reduces the likelihood of internal  pressures for violent change and for the exploitation of these by our  adversaries, and thus directly serves our long_term interest in peace and  stability; by matching espousal of fundamental American principles of  freedom with specific foreign policy actions, we stand out in vivid  contrast to our ideological adversaries; by our efforts to expand freedom  elsewhere, we render our own freedom, and our own nation, more secure.  Countries that respect human rights make stronger allies and better  friends.  
1981_644	1981_644	Rather than attempt to dictate what system of government or institutions  other countries should have, the U.S. supports, throughout the world, the  internationally recognized human rights which all members of the United  Nations have pledged themselves to respect. There is more than one model  that can satisfy the continuing human reach for freedom and justice:  
1981_645	1981_645	1980 has been a year of some disappointments, but has also seen some  positive developments in the ongoing struggle for fulfillment of human  rights throughout the world. In the year we have seen:  
1981_653	1981_653	HUMANITARIAN AID  
1981_655	1981_655	The great majority of refugee admissions continued to be from Indo_china.  During 1980, 168,000 Indo_chinese were resettled in the United States.  Although refugee populations persist in camps in Southeast Asia, and  refugees continue to flee Vietnam, Laos and Kampuchea, the flow is not as  great as in the past. One factor in reducing the flow from Vietnam has been  the successful negotiation and commencement of an Orderly Departure Program  which permits us to process Vietnamese for resettlement in the United  States with direct departure from Ho Chi Minh Ville in an orderly fashion.  The first group of 250 departed Vietnam for the United States in December,  1980.  
1981_656	1981_656	In addition to the refugees admitted last year, the United States accepted  for entry into the United States 125,000 Cubans who were expelled by Fidel  Castro. Federal and state authorities, as well as private voluntary  agencies, responded with unprecedented vigor to coping with the unexpected  influx of Cubans.  
1981_664	1981_664	Thus one of the central objectives of my Administration has been to control  the proliferation of nuclear weapons to those nations which do not have  them, and their further development by the existing nuclear powers   notably the Soviet Union and the United States.  
1981_668	1981_668	 First, we have been seeking to encourage nations to accede to the  Non_Proliferation Treaty. The U.S. is also actively encouraging other  nations to accept full_scope safeguards on all of their nuclear activities  and is asking other nuclear suppliers to adopt a full_scope safeguards  requirement as a condition for future supply.  
1981_669	1981_669	 Second, the International Nuclear Fuel Cycle Evaluation (INFCE), which  was completed in 1980, demonstrated that suppliers and recipients can work  together on these technically complex and sensitive issues. While  differences remain, the INFCE effort provides a broader international basis  for national decisions which must balance energy needs with  non_proliferation concerns.  
1981_672	1981_672	I remain convinced that the SALT II Treaty is in our Nation's security  interest and that it would add significantly to the control of nuclear  weapons. I strongly support continuation of the SALT process and the  negotiation of more far_reaching mutual restraints on nuclear weaponry.  
1981_675	1981_675	We must move together into this decade with the strength which comes from  realization of the dangers before us and from the confidence that together  we can overcome them.  The White House, January 16, 1981.  
1982_5	1982_5	When I visited this Chamber last year as a newcomer to Washington, critical  of past policies which I believed had failed, I proposed a new spirit of  partnership between this Congress and this administration and between  Washington and our State and local governments. In forging this new  partnership for America, we could achieve the oldest hopes of our  Republic prosperity for our nation, peace for the world, and the blessings  of individual liberty for our children and, someday, for all of humanity.  
1982_6	1982_6	It's my duty to report to you tonight on the progress that we have made in  our relations with other nations, on the foundation we've carefully laid  for our economic recovery, and finally, on a bold and spirited initiative  that I believe can change the face of American government and make it again  the servant of the people.  
1982_7	1982_7	Seldom have the stakes been higher for America. What we do and say here  will make all the difference to autoworkers in Detroit, lumberjacks in the  Northwest, steelworkers in Steubenville who are in the unemployment lines;  to black teenagers in Newark and Chicago; to hard_pressed farmers and small  businessmen; and to millions of everyday Americans who harbor the simple  wish of a safe and financially secure future for their children. To  understand the state of the Union, we must look not only at where we are  and where we're going but where we've been. The situation at this time last  year was truly ominous.  
1982_10	1982_10	Late in 1981 we sank into the present recession, largely because continued  high interest rates hurt the auto industry and construction. And there was  a drop in productivity, and the already high unemployment increased.  
1982_13	1982_13	There were also pessimistic predictions about the relationship between our  administration and this Congress. It was said we could never work together.  Well, those predictions were wrong. The record is clear, and I believe that  history will remember this as an era of American renewal, remember this  administration as an administration of change, and remember this Congress  as a Congress of destiny.  
1982_15	1982_15	Together, after 50 years of taking power away from the hands of the people  in their States and local communities, we have started returning power and  resources to them.  
1982_17	1982_17	Together, we have created an effective Federal strike force to combat waste  and fraud in government. In just 6 months it has saved the taxpayers more  than $2 billion, and it's only getting started.  
1982_18	1982_18	Together we've begun to mobilize the private sector, not to duplicate  wasteful and discredited government programs, but to bring thousands of  Americans into a volunteer effort to help solve many of America's social  problems.  
1982_19	1982_19	Together we've begun to restore that margin of military safety that ensures  peace. Our country's uniform is being worn once again with pride.  
1982_20	1982_20	Together we have made a New Beginning, but we have only begun.  
1982_21	1982_21	No one pretends that the way ahead will be easy. In my Inaugural Address  last year, I warned that the "ills we suffer have come upon us over several  decades. They will not go away in days, weeks, or months, but they will go  away . . . because we as Americans have the capacity now, as we've had it  in the past, to do whatever needs to be done to preserve this last and  greatest bastion of freedom."  
1982_23	1982_23	And so, the question: If the fundamentals are in place, what now? Well, two  things. First, we must understand what's happening at the moment to the  economy. Our current problems are not the product of the recovery program  that's only just now getting underway, as some would have you believe; they  are the inheritance of decades of tax and tax and spend and spend.  
1982_25	1982_25	The only alternative being offered to this economic program is a return to  the policies that gave us a trillion_dollar debt, runaway inflation,  runaway interest rates and unemployment. The doubters would have us turn  back the clock with tax increases that would offset the personal tax rate  reductions already passed by this Congress. Raise present taxes to cut  future deficits, they tell us. Well, I don't believe we should buy that  argument.  
1982_27	1982_27	As it now stands, our forecast, which we're required by law to make, will  show major deficits starting at less than a hundred billion dollars and  declining, but still too high. More important, we're making progress with  the three keys to reducing deficits: economic growth, lower interest rates,  and spending control. The policies we have in place will reduce the deficit  steadily, surely, and in time, completely.  
1982_28	1982_28	Higher taxes would not mean lower deficits. If they did, how would we  explain that tax revenues more than doubled just since 1976; yet in that  same 6_year period we ran the largest series of deficits in our history. In  1980 tax revenues increased by $54 billion, and in 1980 we had one of our  all_time biggest deficits. Raising taxes won't balance the budget; it will  encourage more government spending and less private investment. Raising  taxes will slow economic growth, reduce production, and destroy future  jobs, making it more difficult for those without jobs to find them and more  likely that those who now have jobs could lose them. So, I will not ask you  to try to balance the budget on the backs of the American taxpayers.  
1982_30	1982_30	Now, the budget deficit this year will exceed our earlier expectations. The  recession did that. It lowered revenues and increased costs. To some  extent, we're also victims of our own success. We've brought inflation down  faster than we thought we could, and in doing this, we've deprived  government of those hidden revenues that occur when inflation pushes people  into higher income tax brackets. And the continued high interest rates last  year cost the government about $5 billion more than anticipated.  
1982_41	1982_41	I am confident the economic program we've put into operation will protect  the needy while it triggers a recovery that will benefit all Americans. It  will stimulate the economy, result in increased savings and provide capital  for expansion, mortgages for homebuilding, and jobs for the unemployed.  
1982_44	1982_44	In 1960 the Federal Government had 132 categorical grant programs, costing  $7 billion. When I took office, there were approximately 500, costing  nearly a hundred billion dollars 13 programs for energy, 36 for pollution  control, 66 for social services, 90 for education. And here in the  Congress, it takes at least 166 committees just to try to keep track of  them.  
1982_45	1982_45	You know and I know that neither the President nor the Congress can  properly oversee this jungle of grants_in_aid; indeed, the growth of these  grants has led to the distortion in the vital functions of government. As  one Democratic Governor put it recently: The National Government should be  worrying about "arms control, not potholes."  
1982_48	1982_48	Starting in fiscal 1984, the Federal Government will assume full  responsibility for the cost of the rapidly growing Medicaid program to go  along with its existing responsibility for Medicare. As part of a  financially equal swap, the States will simultaneously take full  responsibility for Aid to Families with Dependent Children and food stamps.  This will make welfare less costly and more responsive to genuine need,  because it'll be designed and administered closer to the grass roots and  the people it serves.  
1982_50	1982_50	By 1988 the States will be in complete control of over 40 Federal grant  programs. The trust fund will start to phase out, eventually to disappear,  and the excise taxes will be turned over to the States. They can then  preserve, lower, or raise taxes on their own and fund and manage these  programs as they see fit.  
1982_51	1982_51	In a single stroke we will be accomplishing a realignment that will end  cumbersome administration and spiraling costs at the Federal level while we  ensure these programs will be more responsive to both the people they're  meant to help and the people who pay for them.  
1982_58	1982_58	So, too, the problem of crime one as real and deadly serious as any in  America today. It demands that we seek transformation of our legal system,  which overly protects the rights of criminals while it leaves society and  the innocent victims of crime without justice.  
1982_59	1982_59	We look forward to the enactment of a responsible clean air act to increase  jobs while continuing to improve the quality of our air. We're encouraged  by the bipartisan initiative of the House and are hopeful of further  progress as the Senate continues its deliberations.  
1982_61	1982_61	At Ottawa and Cancun, I met with leaders of the major industrial powers and  developing nations. Now, some of those I met with were a little surprised  that I didn't apologize for America's wealth. Instead, I spoke of the  strength of the free marketplace system and how that system could help them  realize their aspirations for economic development and political freedom. I  believe lasting friendships were made, and the foundation was laid for  future cooperation.  
1982_64	1982_64	When action is called for, we're taking it. Our sanctions against the  military dictatorship that has attempted to crush human rights in  Poland and against the Soviet regime behind that military  dictatorship clearly demonstrated to the world that America will not  conduct "business as usual" with the forces of oppression. If the events in  Poland continue to deteriorate, further measures will follow.  
1982_66	1982_66	Meanwhile, we're working for reduction of arms and military activities, as  I announced in my address to the Nation last November 18th. We have  proposed to the Soviet Union a far_reaching agenda for mutual reduction of  military forces and have already initiated negotiations with them in Geneva  on intermediate_range nuclear forces. In those talks it is essential that  we negotiate from a position of strength. There must be a real incentive  for the Soviets to take these talks seriously. This requires that we  rebuild our defenses.  
1982_72	1982_72	We speak with pride and admiration of that little band of Americans who  overcame insuperable odds to set this nation on course 200 years ago. But  our glory didn't end with them. Americans ever since have emulated their  deeds.  
1982_77	1982_77	Well, that President and that Congress did not fail the American people.  Together they weathered the storm and preserved the Union. Let it be said  of us that we, too, did not fail; that we, too, worked together to bring  America through difficult times. Let us so conduct ourselves that two  centuries from now, another Congress and another President, meeting in this  Chamber as we are meeting, will speak of us with pride, saying that we met  the test and preserved for them in their day the sacred flame of  liberty this last, best hope of man on Earth.  
1982_79	1982_79	NOTE: The President spoke at 9 p.m. in the House Chamber at the Capitol.  He was introduced by Thomas P. O'Neill, Jr., Speaker of the House of  Representatives. The address was broadcast live on nationwide radio  and television.  
1983_2	1983_2	This solemn occasion marks the 196th time that a President of the United  States has reported on the State of the Union since George Washington first  did so in 1790. That's a lot of reports, but there's no shortage of new  things to say about the State of the Union. The very key to our success has  been our ability, foremost among nations, to preserve our lasting values by  making change work for us rather than against us.  
1983_4	1983_4	As we gather here tonight, the state of our Union is strong, but our  economy is troubled. For too many of our fellow citizens farmers, steel and  auto workers, lumbermen, black teenagers, working mothers this is a painful  period. We must all do everything in our power to bring their ordeal to an  end. It has fallen to us, in our time, to undo damage that was a long time  in the making, and to begin the hard but necessary task of building a  better future for ourselves and our children.  
1983_10	1983_10	There are elements in it, of course, that none of us prefers, but taken  together it performs a package that all of us can support. It asks for some  sacrifice by all the self_employed, beneficiaries, workers, government  employees, and the better_off among the retired but it imposes an undue  burden on none. And, in supporting it, we keep an important pledge to the  American people: The integrity of the social security system will be  preserved, and no one's payments will be reduced.  
1983_11	1983_11	The Commission's plan will do the job; indeed, it must do the job. We owe  it to today's older Americans and today's younger workers. So, before we go  any further, I ask you to join with me in saluting the members of the  Commission who are here tonight and Senate Majority Leader Howard Baker and  Speaker Tip O'Neill for a job well done. I hope and pray the bipartisan  spirit that guided you in this endeavor will inspire all of us as we face  the challenges of the year ahead.  
1983_15	1983_15	The problems we inherited were far worse than most inside and out of  government had expected; the recession was deeper than most inside and out  of government had predicted. Curing those problems has taken more time and  a higher toll than any of us wanted. Unemployment is far too high.  Projected Federal spending if government refuses to tighten its own  belt will also be far too high and could weaken and shorten the economic  recovery now underway.  
1983_16	1983_16	This recovery will bring with it a revival of economic confidence and  spending for consumer items and capital goods the stimulus we need to  restart our stalled economic engines. The American people have already  stepped up their rate of saving, assuring that the funds needed to  modernize our factories and improve our technology will once again flow to  business and industry.  
1983_18	1983_18	So, interest rates have tumbled, paving the way for recovery in vital  industries like housing and autos.  
1983_22	1983_22	The Federal budget is both a symptom and a cause of our economic problems.  Unless we reduce the dangerous growth rate in government spending, we could  face the prospect of sluggish economic growth into the indefinite future.  Failure to cope with this problem now could mean as much as a trillion  dollars more in national debt in the next 4 years alone. That would average  $4,300 in additional debt for every man, woman, child, and baby in our  nation.  
1983_23	1983_23	To assure a sustained recovery, we must continue getting runaway spending  under control to bring those deficits down. If we don't, the recovery will  be too short, unemployment will remain too high, and we will leave an  unconscionable burden of national debt for our children. That we must not  do.  
1983_24	1983_24	Let's be clear about where the deficit problem comes from. Contrary to the  drumbeat we've been hearing for the last few months, the deficits we face  are not rooted in defense spending. Taken as a percentage of the gross  national product, our defense spending happens to be only about four_fifths  of what it was in 1970. Nor is the deficit, as some would have it, rooted  in tax cuts. Even with our tax cuts, taxes as a fraction of gross national  product remain about the same as they were in 1970. The fact is, our  deficits come from the uncontrolled growth of the budget for domestic  spending.  
1983_31	1983_31	Third, I will adjust our program to restore America's defenses by proposing  $55 billion in defense savings over the next 5 years. These are savings  recommended to me by the Secretary of Defense, who has assured me they can  be safely achieved and will not diminish our ability to negotiate arms  reductions or endanger America's security. We will not gamble with our  national survival.  
1983_34	1983_34	At the same time, however, I will oppose any efforts to undo the basic tax  reforms that we've already enacted, including the 10_percent tax break  coming to taxpayers this July and the tax indexing which will protect all  Americans from inflationary bracket creep in the years ahead.  
1983_40	1983_40	Education, training, and retraining are fundamental to our success as are  research and development and productivity. Labor, management, and  government at all levels can and must participate in improving these tools  of growth. Tax policy, regulatory practices, and government programs all  need constant reevaluation in terms of our competitiveness. Every American  has a role and a stake in international trade.  
1983_49	1983_49	I will also shortly submit a comprehensive federalism proposal that will  continue our efforts to restore to States and local governments their roles  as dynamic laboratories of change in a creative society.  
1983_52	1983_52	To many of us now, computers, silicon chips, data processing, cybernetics,  and all the other innovations of the dawning high technology age are as  mystifying as the workings of the combustion engine must have been when  that first Model T rattled down Main Street, U.S.A. But as surely as  America's pioneer spirit made us the industrial giant of the 20th century,  the same pioneer spirit today is opening up on another vast front of  opportunity, the frontier of high technology.  
1983_61	1983_61	In the Middle East last year, the United States played the major role in  ending the tragic fighting in Lebanon and negotiated the withdrawal of the  PLO from Beirut.  
